pre,post,weight
1000,2000,12
1000,2005,18
1000,2007,15
1000,2008,8
1000,2013,4
1000,2017,18
1000,2028,18
1000,2029,7
1001,2000,22
1001,2001,32
1001,2002,17
1001,2011,21
1001,2027,4
1001,2028,19
1001,2029,12
1002,2002,12
1002,2004,18
1002,2006,24
1002,2008,6
1002,2015,8
1002,2018,24
1002,2019,10
1002,2028,20
1003,2003,12
1003,2011,17
1003,2012,23
1003,2017,18
1003,2023,16
1003,2025,8
1003,2028,21
1003,2029,23
1004,2003,8
1004,2004,12
1004,2006,15
1004,2008,21
1004,2015,6
1004,2017,6
1004,2023,7
1004,2028,18
1005,2005,12
1005,2012,5
1005,2015,8
1005,2016,4
1005,2020,18
1005,2021,19
1005,2027,3
1005,2028,19
1006,2000,24
1006,2004,4
1006,2007,6
1006,2015,19
1006,2023,16
1006,2024,7
1006,2028,20
1007,2000,11
1007,2003,3
1007,2009,22
1007,2019,10
1007,2026,18
1007,2028,39
1008,2000,23
1008,2011,11
1008,2014,18
1008,2018,6
1008,2022,7
1008,2029,16
1009,2012,6
1009,2015,22
1009,2017,6
1009,2019,16
1009,2020,23
1009,2028,19
1010,2005,19
1010,2011,11
1010,2013,6
1010,2021,22
1010,2022,7
1010,2024,25
1011,2002,23
1011,2011,9
1011,2022,12
1011,2023,8
1011,2025,17
1011,2028,23
1011,2029,720
2000,1000,9
2000,1002,8
2000,1009,17
2000,1010,14
2000,1011,14
2001,1001,9
2001,1009,20
2002,1002,23
2002,1005,20
2002,1008,5
2002,1011,16
2003,1002,4
2003,1003,9
2003,1006,14
2003,1011,3
2004,1003,3
2004,1004,9
2004,1006,7
2004,1008,5
2005,1005,9
2006,1003,8
2006,1004,17
2006,1009,19
2007,1006,12
2008,1001,4
2008,1005,7
2009,1010,11
2010,1001,22
2010,1002,15
2010,1004,4
2011,1008,13
2012,1003,22
2012,1005,17
2012,1007,9
2013,1000,18
2013,1001,21
2013,1003,6
2013,1008,10
2013,1011,13
2014,1000,12
2014,1003,11
2014,1005,14
2014,1007,10
2015,1001,6
2016,1000,9
2017,1002,3
2018,1010,18
2019,1004,19
2020,1000,22
2020,1007,9
2021,1004,12
2021,1007,16
2021,1010,9
2022,1005,10
2022,1006,13
2022,1008,15
2022,1009,22
2023,1009,13
2024,1010,19
2025,1000,19
2025,1007,22
2026,1006,5
2027,1001,6
2027,1004,11
2028,1011,18
