body_id,type,side,status,nt,nt_confidence
1000,DAN00,L,Traced,dopamine,0.946
1001,DAN00,R,Traced,dopamine,0.948
1002,DAN01,L,Traced,dopamine,0.974
1003,DAN01,R,Traced,dopamine,0.967
1004,DAN02,L,Traced,dopamine,0.891
1005,DAN02,R,Traced,dopamine,0.93
1006,DAN03,L,Traced,dopamine,0.967
1007,DAN03,R,Traced,dopamine,0.939
1008,DAN04,L,Traced,dopamine,0.946
1009,DAN04,R,Traced,dopamine,0.94
1010,DAN05,L,Traced,dopamine,0.954
1011,DAN05,R,Traced,dopamine,0.941
2000,Partner00,L,Traced,acetylcholine,0.9
2001,Partner01,R,Traced,gaba,0.9
2002,Partner02,L,Traced,glutamate,0.9
2003,Partner03,R,Traced,acetylcholine,0.9
2004,Partner04,L,Traced,gaba,0.9
2005,Partner05,R,Traced,glutamate,0.9
2006,Partner06,L,Traced,acetylcholine,0.9
2007,Partner07,R,Traced,gaba,0.9
2008,Partner00,L,Traced,glutamate,0.9
2009,Partner01,R,Traced,acetylcholine,0.9
2010,Partner02,L,Traced,gaba,0.9
2011,Partner03,R,Traced,glutamate,0.9
2012,Partner04,L,Traced,acetylcholine,0.9
2013,Partner05,R,Traced,gaba,0.9
2014,Partner06,L,Traced,glutamate,0.9
2015,Partner07,R,Traced,acetylcholine,0.9
2016,Partner00,L,Traced,gaba,0.9
2017,Partner01,R,Traced,glutamate,0.9
2018,Partner02,L,Traced,acetylcholine,0.9
2019,Partner03,R,Traced,gaba,0.9
2020,Partner04,L,Traced,glutamate,0.9
2021,Partner05,R,Traced,acetylcholine,0.9
2022,Partner06,L,Traced,gaba,0.9
2023,Partner07,R,Traced,glutamate,0.9
2024,Partner00,L,Traced,acetylcholine,0.9
2025,Partner01,R,Traced,gaba,0.9
2026,Partner02,L,Traced,glutamate,0.9
2027,Partner03,R,Traced,acetylcholine,0.9
2028,Partner04,L,Traced,gaba,0.9
2029,Partner05,R,Traced,glutamate,0.9
